"file","group","title","artist","date","license","license_url","source_page","original_dimensions"
"02-abstraction/24-Theo-van-Doesburg-021.jpg","02-abstraction","Theo van Doesburg 021","Theo van Doesburg","between 27 August 1925 and 30 November 1925 date QS:P571,+1925-00-00T00:00:00Z/9,P1319,+1925-08-27T00:00:00Z/11,P1326,+1925-11-30T00:00:00Z/11","Public domain","","https://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_021.jpg","547x550"
"02-abstraction/25-Theo-van-Doesburg-025.jpg","02-abstraction","Theo van Doesburg 025","Theo van Doesburg","1925-1926","Public domain","","https://commons.wikimedia.org/wiki/File:Theo_van_Doesburg_025.jpg","477x490"
"02-abstraction/26-Simultaneous-Counter-Composition-1929-30-Theo-van-Doesburg.jpg","02-abstraction","Simultaneous Counter-Composition 1929-30 Theo van Doesburg","Theo van Doesburg","between 1 January 1930 and 8 October 1930 date QS:P571,+1930-00-00T00:00:00Z/9,P1319,+1930-01-01T00:00:00Z/11,P1326,+1930-10-08T00:00:00Z/11","Public domain","","https://commons.wikimedia.org/wiki/File:Simultaneous_Counter-Composition_1929-30_Theo_van_Doesburg.jpg","2825x2868"
"02-abstraction/27-11-Kislyakov-Avtoportret.jpg","02-abstraction","11 Kislyakov Avtoportret","Александр Кисляков","1994","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5","https://commons.wikimedia.org/wiki/File:11_Kislyakov_Avtoportret.jpg","602x600"
"02-abstraction/28-Red-Balloon.jpg","02-abstraction","Red Balloon","Paul Klee","1922 date QS:P571,+1922-00-00T00:00:00Z/9","Public domain","","https://commons.wikimedia.org/wiki/File:Red_Balloon.JPG","2564x2600"
"02-abstraction/29-1960-2005-yaers-097.jpg","02-abstraction","1960--2005 yaers 097","Waldemar Smolarek","1985 date QS:P571,+1985-00-00T00:00:00Z/9","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:1960--2005_yaers_097.JPG","2736x3648"
"02-abstraction/30-169-SeaWall.jpg","02-abstraction","169-SeaWall","Ron Wigginton","1981","Public domain","","https://commons.wikimedia.org/wiki/File:169-SeaWall.jpg","429x712"
"02-abstraction/31-15r.jpg","02-abstraction","15r","Joaquín González, Quino","2010-12-19","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:15r.jpg","436x600"
"02-abstraction/32-2006-100-x-100-Guadalalala.jpg","02-abstraction","2006 - 100 x 100 - Guadalalala","Schwarzes-flimmern","2006","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:2006_-_100_x_100_-_Guadalalala.JPG","1417x1422"
"02-abstraction/33-2007-81-x-80-Vibracion.jpg","02-abstraction","2007 - 81 x 80 - Vibración","Schwarzes-flimmern","2008-10-11 00:06:53","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:2007_-_81_x_80_-_Vibraci%C3%B3n.JPG","787x800"
"02-abstraction/34-2002Baladaolaske.jpg","02-abstraction","2002Baladaolaske","Rudolf Rabatin","2012-11-28 09:50:52","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:2002Baladaolaske.jpg","600x523"
"02-abstraction/35-Sailboat-Disguise-by-Ray-L.-Burggraf.jpg","02-abstraction","""Sailboat Disguise"" by Ray L. Burggraf","Ray Burggraf","2013-03-06 19:22:03","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:%22Sailboat_Disguise%22_by_Ray_L._Burggraf.jpg","3744x5226"
"02-abstraction/36-Afterglow-by-Ray-L.-Burggraf-2005.jpg","02-abstraction","""Afterglow"" by Ray L. Burggraf, 2005","Ray Burggraf","2005-01-01","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:%22Afterglow%22_by_Ray_L._Burggraf,_2005.jpg","2048x1536"
"02-abstraction/37-Abstrakte-Komposition-Hans-Kruzwicki.jpg","02-abstraction","""Abstrakte Komposition"" Hans Kruzwicki","Hans Kruzwicki (painting) User: Dietmar Kruzwicki (photo)","1950s date QS:P,+1950-00-00T00:00:00Z/8","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","https://commons.wikimedia.org/wiki/File:%22Abstrakte_Komposition%22_Hans_Kruzwicki.jpg","2660x2119"
"02-abstraction/38-Dragon-Breath-by-Ray-L.-Burggraf.jpg","02-abstraction","""Dragon Breath"" by Ray L. Burggraf","Global Microscope / Global Microscope at en.wikipedia","2000-01-02","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:%22Dragon_Breath%22_by_Ray_L._Burggraf.jpg","2592x1944"
"02-abstraction/39-Storm-Natalia-P.-Fernandes.jpg","02-abstraction","'Storm' Natalia P. Fernandes","Art.npf","2014-08-07 15:00:09","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:%27Storm%27_Natalia_P._Fernandes.JPG","4242x2973"
"02-abstraction/40-Sand-Natalia-P.-Fernandes.jpg","02-abstraction","'Sand', Natalia P. Fernandes","Art.npf","2014-08-07 10:42:22","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:%27Sand%27,_Natalia_P._Fernandes.JPG","3004x4006"
